year_month,Complaint Type,census_tract_id,complaint_count
2010-01,Missing Collection,36047089400,1
2010-01,Missing Collection,36047089800,1
2010-01,Missing Collection,36047090000,3
2010-01,Missing Collection,36047091600,1
2010-01,Missing Collection,36047093400,2
2010-01,Missing Collection,36047093600,2
2010-01,Missing Collection,36047094401,1
2010-01,Missing Collection,36047094600,2
2010-01,Missing Collection,36047095800,5
2010-01,Missing Collection,36047096400,1
2010-01,Missing Collection,36047097000,2
2010-01,Missing Collection,36047097400,1
2010-01,Missing Collection,36047098600,2
2010-01,Missing Collection,36047099400,1
2010-01,Missing Collection,36047099600,2
2010-01,Missing Collection,36047099800,1
2010-01,Missing Collection,36047100400,2
2010-01,Missing Collection,36047100600,1
2010-01,Missing Collection,36047100800,2
2010-01,Missing Collection,36047101000,2
2010-01,Missing Collection,36047101200,1
2010-01,Missing Collection,36047102000,1
2010-01,Missing Collection,36047102200,2
2010-01,Missing Collection,36047102801,1
2010-01,Missing Collection,36047105804,1
2010-01,Missing Collection,36047107800,4
2010-01,Missing Collection,36047109800,2
2010-01,Missing Collection,36047111600,3
2010-01,Missing Collection,36047111800,3
2010-01,Missing Collection,36047112000,3
2010-01,Missing Collection,36047112400,2
2010-01,Missing Collection,36047112600,1
2010-01,Missing Collection,36047112800,5
2010-01,Missing Collection,36047113200,1
2010-01,Missing Collection,36047114201,2
2010-01,Missing Collection,36047114202,1
2010-01,Missing Collection,36047115600,2
2010-01,Missing Collection,36047119400,2
2010-01,Missing Collection,36047119600,1
2010-01,Missing Collection,36047119800,1
2010-01,Missing Collection,36047120801,1
2010-01,Missing Collection,36047120803,2
2010-01,Missing Collection,36047122000,5
2010-01,Missing Collection,36047123700,1
2010-01,Missing Collection,36047152200,5
2010-01,Missing Collection,36061000700,1
2010-01,Missing Collection,36061000800,1
2010-01,Missing Collection,36061000900,1
2010-01,Missing Collection,36061001200,1
2010-01,Missing Collection,36061001402,1
2010-01,Missing Collection,36061001502,2
2010-01,Missing Collection,36061001800,2
2010-01,Missing Collection,36061002100,1
2010-01,Missing Collection,36061002601,1
2010-01,Missing Collection,36061002700,1
2010-01,Missing Collection,36061003602,1
2010-01,Missing Collection,36061003700,2
2010-01,Missing Collection,36061003800,1
2010-01,Missing Collection,36061004001,2
2010-01,Missing Collection,36061004300,2
2010-01,Missing Collection,36061004900,2
2010-01,Missing Collection,36061005501,1
2010-01,Missing Collection,36061005502,3
2010-01,Missing Collection,36061005700,1
2010-01,Missing Collection,36061006200,1
2010-01,Missing Collection,36061006300,2
2010-01,Missing Collection,36061006400,1
2010-01,Missing Collection,36061006500,2
2010-01,Missing Collection,36061006700,1
2010-01,Missing Collection,36061007002,3
2010-01,Missing Collection,36061007100,1
2010-01,Missing Collection,36061007300,1
2010-01,Missing Collection,36061007400,1
2010-01,Missing Collection,36061007600,2
2010-01,Missing Collection,36061007700,1
2010-01,Missing Collection,36061007800,1
2010-01,Missing Collection,36061007900,1
2010-01,Missing Collection,36061008100,2
2010-01,Missing Collection,36061008603,3
2010-01,Missing Collection,36061008700,4
2010-01,Missing Collection,36061009500,1
2010-01,Missing Collection,36061009600,1
2010-01,Missing Collection,36061009800,8
2010-01,Missing Collection,36061010601,1
2010-01,Missing Collection,36061010802,1
2010-01,Missing Collection,36061010900,2
2010-01,Missing Collection,36061011203,2
2010-01,Missing Collection,36061011800,1
2010-01,Missing Collection,36061012101,1
2010-01,Missing Collection,36061012102,2
2010-01,Missing Collection,36061012200,2
2010-01,Missing Collection,36061012400,1
2010-01,Missing Collection,36061012602,2
2010-01,Missing Collection,36061012800,2
2010-01,Missing Collection,36061012901,1
2010-01,Missing Collection,36061013000,1
2010-01,Missing Collection,36061013100,1
2010-01,Missing Collection,36061013400,3
2010-01,Missing Collection,36061013602,3
2010-01,Missing Collection,36061013603,1
2010-01,Missing Collection,36061013900,3
2010-01,Missing Collection,36061014000,3
2010-01,Missing Collection,36061014401,1
